LWN,RWN,LWLS,RWRS,LWRE,RWLE,LWRH,LELH,RWLH,RERH,LHRHMN,LWRW,LERE,LEA,REA,RSA,LSA,LHTA,RHTA,ETRI,WTRI,HTRI,Pose
194.8333,161.9413,181.2898,140.8581,32.0156,56.0357,57.0701,76.4199,88.2043,60.7454,246.2722,86.977,161.1521,90.0419,72.4978,8.4711,14.8806,89.1186,90.8814,15207.8625,7557.6527,3152.9166,Hands_Crossed
198.1237,159.1383,199.985,140.1856,9.2195,55.4437,61.9839,77.0779,89.8053,53.6004,244.4734,114.9348,158.0791,88.9254,70.3097,5.7205,15.4196,90.7345,89.2655,14998.8344,9784.0644,4310.1494,Hands_Crossed
192.7693,165.003,179.4018,137.5354,49.6488,72.4224,59.439,90.1388,80.0,61.6117,244.4918,74.1485,191.0026,83.6471,65.874,15.6687,21.6271,76.6287,103.3713,18003.5799,6508.4582,2569.4488,Hands_Crossed
128.7362,131.4686,93.8616,86.9253,132.8495,148.4924,58.2409,47.927,130.05,97.0824,137.3208,110.7655,158.6758,118.781,116.4851,61.1079,16.6336,111.5106,68.4894,6154.9531,6520.4232,2267.4827,Hands_Crossed
134.0821,140.46,100.2447,93.1719,101.0792,111.6288,45.7056,35.1141,98.9949,69.4262,141.0886,77.2334,125.4472,126.3282,127.0946,39.2004,6.9143,98.2217,81.7783,6223.9545,5088.3647,1108.0034,Hands_Crossed
123.6285,127.5813,99.5389,91.7878,95.7706,106.7052,39.1152,44.2832,103.0776,84.2021,144.9569,66.0681,125.3196,118.609,125.2802,42.3541,2.828,113.7248,66.2752,5516.2867,4003.7038,1342.3586,Hands_Crossed
125.028,140.6307,102.4597,104.5801,101.0742,110.8603,42.0476,32.7567,90.0056,65.1153,125.064,72.1734,126.9212,122.8696,131.8738,39.7687,10.0169,95.6176,84.3824,5694.9496,4621.6696,867.7707,Hands_Crossed
122.2007,142.2428,105.5462,106.4707,82.2982,109.8954,37.0135,46.4866,92.228,75.213,146.219,60.8276,120.5073,113.9703,143.215,31.6389,6.6026,103.6979,76.3021,5647.3115,3925.3853,1105.8255,Hands_Crossed
116.559,140.7693,97.0824,105.3043,90.5207,112.9292,50.1199,46.5188,88.459,65.192,139.0728,74.5252,122.2007,114.1221,142.011,29.1365,10.9474,93.5702,86.4298,5728.8685,4611.0092,1024.721,Hands_Crossed
124.0363,141.6933,106.9018,108.1665,90.2497,113.2254,43.9318,41.3401,86.0058,58.6941,132.0237,70.4557,122.2007,119.8664,144.5261,27.5258,12.7163,88.8065,91.1935,5728.8685,4523.7252,777.61,Hands_Crossed
141.6933,152.1085,111.072,106.1697,86.3134,107.28,41.2311,48.1041,87.2983,67.424,158.1336,63.0714,117.6138,123.2753,144.211,26.4255,8.2156,96.9978,83.0022,6356.6546,4527.5966,900.9776,Hands_Crossed
144.281,158.433,119.0378,110.0727,71.2811,111.6826,29.0689,55.1543,88.0738,73.7835,167.5366,42.4264,124.7878,110.2739,141.5515,26.7412,10.1028,96.5221,83.4779,6935.8346,3182.6168,833.1416,Hands_Crossed
144.281,156.8502,120.9504,108.074,67.1193,105.0809,24.8395,51.5461,87.3212,68.8186,166.0911,40.3113,117.72,114.4125,142.2871,26.1683,6.0138,98.1167,81.8833,6691.5566,3010.0989,798.7588,Hands_Crossed
187.8084,175.0257,154.8419,146.9864,97.1854,72.9932,77.0779,93.4345,75.06,74.6324,248.2725,31.0161,198.1237,84.4825,72.5546,18.6895,21.9258,76.7817,103.2183,18332.6659,2804.8808,1082.8193,Hands_Crossed
146.1095,153.0,79.7621,86.8159,151.3473,153.7596,80.0812,63.4114,113.9517,100.1249,158.0957,120.0375,173.531,112.8581,93.355,68.5045,34.1339,103.1187,76.8813,8221.8026,8224.1563,1663.8297,Hands_Crossed
146.9864,166.5323,87.0976,92.9624,144.3087,136.7808,75.6902,62.9682,105.6504,96.8297,170.7959,104.0769,166.7213,118.4903,99.9458,56.8633,22.6096,79.5469,100.4531,9200.3135,7711.7046,1513.818,Hands_Crossed
146.6697,167.9077,87.4757,98.3107,144.4611,130.2306,75.6902,55.4707,99.4636,100.6876,167.3776,102.0441,160.1,126.4612,105.0439,56.1221,20.9297,76.2005,103.7995,8638.354,7610.5427,1234.0589,Hands_Crossed
148.0034,165.6804,98.7623,98.732,134.1827,118.0678,62.5859,52.8394,93.145,95.6033,166.14,86.2844,152.6106,131.4264,102.7343,52.5364,14.2073,68.6139,111.3861,8557.2584,6516.6514,1031.1348,Hands_Crossed
146.0856,163.9756,98.3514,98.1835,122.1188,114.9348,56.3028,50.6063,90.956,93.8136,167.0359,77.1038,147.5127,121.4114,110.2486,47.8891,13.9861,68.1929,111.8071,8313.8824,5799.2445,1053.8502,Hands_Crossed
143.0559,165.7106,93.6056,102.0784,120.8305,115.9526,60.9262,58.6003,92.0489,91.6079,171.1432,78.0064,147.1394,120.1819,112.6762,43.4119,14.5797,67.7429,112.2571,8340.5129,5842.8376,1174.152,Hands_Crossed
142.5061,162.9632,91.3947,104.3072,114.3897,111.5706,59.6154,55.3624,92.1792,83.4086,169.2956,78.3135,137.7679,123.2563,117.0611,40.8151,9.9338,85.6224,94.3776,7786.0208,5794.5686,1135.7141,Hands_Crossed
142.4254,163.0828,92.6984,104.2353,107.3359,107.2007,56.0803,49.6488,90.471,76.8375,167.2162,75.4255,130.6981,124.317,122.6808,37.097,6.8125,87.2511,92.7489,7587.952,5596.0214,1043.0826,Hands_Crossed
145.0034,163.6154,100.1848,105.3043,95.7079,106.2309,43.4166,50.5964,89.7385,79.2023,169.6658,62.2896,128.8914,120.148,124.1249,36.9047,6.0309,90.1113,89.8887,7501.2845,4715.9474,1015.197,Hands_Crossed
120.0708,115.434,94.3027,66.5733,43.0116,61.131,83.1505,71.3092,94.3716,90.377,199.5157,21.0238,123.7942,77.6957,62.4408,29.8549,8.346,92.9324,87.0676,7714.1385,1233.0999,903.0448,Hands_Crossed
200.0925,170.0265,170.9415,143.1782,72.0347,80.9568,72.4017,92.6984,88.459,83.9345,259.2995,57.2713,199.8124,81.7321,73.0321,14.5746,22.2761,77.7875,102.2125,18684.3971,5253.1381,2176.1675,Hands_Crossed
138.0145,104.3887,73.2462,46.6154,82.0061,90.1388,89.1572,64.5368,104.3552,95.3834,211.5148,35.7351,168.8579,54.3934,27.9529,39.3084,31.7473,108.8708,71.1292,12284.4143,2162.88,1617.1137,Hands_Crossed
128.0976,125.1958,70.7672,66.7308,70.0286,68.0661,75.5844,73.9256,81.0062,79.177,196.023,3.6056,136.0147,70.9065,58.4802,31.5655,24.331,97.3904,82.6096,8650.0434,228.3075,125.4096,Hands_Crossed
128.0,111.3643,65.437,51.0392,80.6226,80.6226,77.3692,60.4152,96.1769,90.9175,196.5006,19.2354,147.1394,57.0223,43.768,41.9439,22.3891,96.9595,83.0405,9616.6876,1150.1288,742.122,Hands_Crossed
133.1353,122.262,68.5055,60.7454,88.955,73.5459,70.4911,60.4152,84.3149,89.0505,192.5416,17.8045,146.9864,67.9021,51.6278,44.6063,20.6208,94.5356,85.4644,9467.0107,1135.0714,580.3555,Hands_Crossed
130.1384,125.3236,66.4003,63.2851,89.4539,74.9667,75.6637,61.327,83.8153,91.2634,194.552,15.8114,148.8624,65.6626,53.7423,44.3808,20.5322,95.4487,84.5513,9624.9613,1008.0458,531.8012,Hands_Crossed
118.423,121.4949,57.8014,59.6154,86.0,87.4643,79.2591,51.9711,81.4678,83.4865,180.617,29.0689,144.4195,57.2866,59.329,38.7629,23.6592,95.8545,84.1455,8922.5822,1730.8348,908.0537,Hands_Crossed
115.3516,126.0,77.4209,76.6942,59.1354,62.0322,90.7579,75.6902,85.9593,87.3155,201.01,14.2127,130.3112,71.7708,75.8059,24.7644,13.0872,93.7585,86.2415,8049.0882,856.9103,573.9218,Hands_Crossed
112.6144,128.0976,86.6083,84.2912,45.7056,55.2268,89.4986,78.1025,80.0625,82.5651,198.5025,29.4109,124.0645,76.3498,83.8956,18.2638,10.5957,92.2895,87.7105,7506.9275,1760.3126,1167.6713,Hands_Crossed
112.969,129.0349,88.5099,82.9759,40.7922,58.0517,86.1452,80.0812,74.7061,81.2712,195.5058,30.0,121.0041,78.7206,88.1957,17.7014,13.3037,90.2308,89.7692,7169.5587,1805.0554,1143.3995,Hands_Crossed
110.8558,127.2517,92.7847,84.2912,37.3631,52.9528,86.1452,78.848,72.9178,82.0792,193.5523,38.0789,121.0041,78.8537,83.8956,21.419,12.0134,91.5369,88.4631,7109.0571,2242.9793,1468.0131,Hands_Crossed
202.408,174.0718,182.439,152.7351,61.6604,57.2713,93.771,100.2397,100.3195,113.1592,279.9558,81.2158,197.1243,88.1162,71.6894,20.5357,13.8301,66.9708,113.0292,18363.4033,7486.1815,3919.502,Hands_Crossed
115.8792,149.4824,102.1567,41.1947,94.5304,132.0341,131.7004,130.8625,177.1384,118.6802,240.0271,57.1402,169.0266,106.6791,39.6895,41.4621,11.1378,71.6413,108.3587,10764.9195,3732.7726,3745.3251,Hands_Crossed
104.0769,137.9311,68.0,33.4215,117.3243,166.003,118.4441,109.11,168.2201,62.1289,199.661,91.0879,190.9057,64.7595,5.6242,27.749,36.8783,82.0902,97.9098,11692.1971,5163.6158,4576.259,Hands_Crossed
116.3486,138.6975,67.3573,38.4708,120.0708,150.0,103.0049,86.6083,128.4562,57.6281,184.0713,88.0227,181.8928,77.1712,26.4053,32.886,31.0124,83.2575,96.7425,11326.1151,5290.5245,3009.9557,Hands_Crossed
119.2518,146.2498,48.2597,54.1295,135.7129,155.3222,129.2478,92.4175,120.1083,50.6063,190.998,103.2473,187.1817,54.0653,53.1093,20.0047,42.5051,82.7239,97.2761,12222.5692,6352.0154,3515.0542,Hands_Crossed
127.9531,144.2221,43.6578,59.0339,138.0797,173.9339,144.0451,118.2582,117.2007,68.7095,207.5602,103.9423,207.7619,35.9056,56.5669,19.4899,62.439,92.3969,87.6031,13850.197,6550.2202,4256.0053,Hands_Crossed
143.6802,149.0403,38.6264,65.9697,168.6713,204.2474,177.5303,159.3644,118.2286,68.6804,214.5146,135.5913,237.3268,27.1538,69.0525,14.8913,85.5902,95.3415,84.6585,15272.5821,8795.7506,6165.7711,Hands_Crossed
769.7298,786.4057,668.6741,620.8591,267.3163,485.066,491.7093,523.1787,499.5408,447.2941,1215.2268,79.0569,827.544,79.8254,94.3572,3.0224,20.031,93.3799,86.6201,315457.1756,30717.8821,17373.4824,Hands_Crossed
856.2249,831.5624,744.1136,763.7591,293.6256,238.7677,481.6524,505.1198,474.0042,584.9316,1282.3486,355.681,857.2543,84.8026,94.198,6.7129,16.3387,93.2042,86.7958,326883.3008,146724.4903,82709.0824,Hands_Crossed
826.4636,767.6099,718.9249,706.4,311.7515,289.8413,423.8313,412.7687,405.5441,543.9485,1173.9994,306.6154,862.4732,82.2898,93.2474,8.1701,19.3056,95.8466,84.1534,317408.882,119995.0079,60961.0183,Hands_Crossed
761.9403,763.8907,715.5145,718.0926,233.0708,277.3482,446.2398,438.4438,406.0111,513.7198,1155.2014,363.3098,862.5277,77.0917,93.6783,7.0392,20.5436,94.6997,85.3003,310729.2631,134601.5562,75900.2858,Hands_Crossed
202.608,180.3996,174.2297,154.159,68.9493,63.9531,55.5428,88.0057,82.7345,92.9139,256.4888,68.6586,195.9235,85.4222,76.4381,22.4993,17.2581,80.3362,99.6638,17916.1528,6478.9198,2334.644,Hands_Crossed
761.0105,747.2724,608.922,550.0909,435.0287,521.6934,591.8463,565.4184,602.2242,469.8638,1233.9114,110.0227,849.7252,94.3909,76.1704,8.6431,13.0491,97.3248,82.6752,311015.7651,41377.5506,26520.0986,Hands_Crossed
798.4948,860.558,665.8664,714.7951,245.4486,313.0192,495.6824,532.1663,406.3422,409.253,1244.5844,308.3148,854.6765,77.7423,89.3568,3.1751,23.9985,94.1582,85.8418,347229.3746,125741.0788,67224.1551,Hands_Crossed
787.8382,760.148,723.6664,687.3442,193.0803,294.0901,452.6422,453.4854,451.4731,458.0273,1190.9308,284.3449,766.7601,87.5408,94.7552,0.2457,13.13,96.2388,83.7612,289693.3413,108186.0267,61192.6806,Hands_Crossed
777.4175,744.1505,733.9223,710.1732,254.6154,287.4056,435.5468,462.3429,454.5822,503.2157,1170.47,350.5567,873.3413,80.9736,87.1079,8.9948,19.0995,101.6679,78.3321,317137.2212,129794.3579,76030.9116,Hands_Crossed
755.5084,756.2288,701.6274,708.0007,221.9234,305.5552,494.3288,464.8408,445.889,516.1211,1191.7534,338.1198,861.6803,75.4105,91.0913,5.0836,20.6758,96.664,83.336,318135.2067,124549.7976,77326.01,Hands_Crossed
782.1311,809.506,734.2207,722.8624,188.1622,281.2046,494.899,445.1797,423.6567,527.4182,1221.3919,354.0014,820.3658,79.6993,96.8705,3.6257,15.1011,95.8169,84.1831,311361.5045,137353.603,78893.9822,Hands_Crossed
