bodyMajor,bodyAngle,bodyArea,lh1_x,lh1_y,lh1Major,lh1Angle,lh1Area,rh1_x,rh1_y,rh1Major,rh1Angle,rh1Area,lh2_x,lh2_y,lh2Major,lh2Angle,lh2Area,rh2_x,rh2_y,rh2Major,rh2Angle,rh2Area,Pose
136,96.294,19229.04,-51,-2,70,94.899,5058.62,42,2,69,95.793,4986.354,-11,-35,74,-177.678,5580.192,11,-26,70,-10.67,5058.62,Hands_Crossed
137,97.953,19370.43,-53,-2,69,94.97,4986.354,40,1,71,95.631,5130.886,-7,-35,86,-177.337,7565.936,9,-27,70,-12.265,5058.62,Hands_Crossed
138,100.823,19945.416,-53,0,69,88.34,4986.354,49,1,73,105.732,5504.784,-12,-33,83,-177.241,7041.222,23,-30,73,-7.8,5504.784,Hands_Crossed
106,81.87,11656.82,-24,3,54,97.386,3054.024,39,3,56,103.299,3167.136,-5,-35,39,144.293,1592.994,41,-36,23,67.751,505.862,Hands_Crossed
103,88.332,11003.284,-29,4,53,94.316,2830.942,34,9,50,104.859,2513.6,-16,-32,28,137.862,791.784,36,-29,28,71.565,791.784,Hands_Crossed
97,88.229,9752.768,-31,4,50,90.0,2513.6,34,7,47,104.621,2215.11,-21,-31,29,133.603,820.062,35,-29,28,67.068,791.784,Hands_Crossed
102,87.194,10896.456,-30,6,51,93.366,2724.114,34,10,47,100.84,2215.11,-12,-28,38,153.435,1432.752,32,-26,27,64.359,763.506,Hands_Crossed
97,87.049,9752.768,-29,4,50,92.291,2513.6,34,7,49,98.13,2463.328,-11,-31,39,149.534,1592.994,32,-30,26,67.38,653.536,Hands_Crossed
96,88.807,9652.224,-29,4,51,92.246,2724.114,35,7,48,100.62,2413.056,-9,-30,41,155.898,1674.686,34,-30,27,68.962,763.506,Hands_Crossed
96,88.807,9652.224,-28,4,50,92.291,2513.6,35,8,47,99.66,2215.11,-9,-29,39,154.722,1592.994,33,-29,29,66.038,820.062,Hands_Crossed
106,88.919,11656.82,-33,2,49,91.169,2463.328,32,3,48,100.62,2413.056,-16,-32,38,150.068,1432.752,30,-33,27,64.359,763.506,Hands_Crossed
108,88.939,12216.096,-33,0,48,92.386,2413.056,32,1,50,99.09,2513.6,-18,-34,34,144.462,1175.108,30,-35,25,62.447,628.4,Hands_Crossed
109,89.474,12329.208,-34,-1,49,92.337,2463.328,32,1,49,100.408,2463.328,-18,-36,35,145.408,1209.67,31,-36,26,67.38,653.536,Hands_Crossed
143,105.781,21117.382,-54,-1,67,83.191,4631.308,43,0,68,106.858,4700.432,-53,-36,9,161.565,84.834,21,-30,65,-4.399,4288.83,Hands_Crossed
128,90.0,16891.392,-34,2,48,86.424,2413.056,36,6,48,109.179,2413.056,-22,-33,36,140.599,1357.344,34,-29,32,49.97,1005.44,Hands_Crossed
121,97.067,15207.28,-27,-1,45,90.0,2120.85,39,4,50,102.653,2513.6,-17,-37,32,126.158,1005.44,38,-34,29,64.29,820.062,Hands_Crossed
120,99.071,15081.6,-26,-4,47,94.865,2215.11,42,2,50,100.204,2513.6,-10,-39,36,140.599,1357.344,40,-36,29,64.29,820.062,Hands_Crossed
118,98.746,14459.484,-23,-4,48,93.576,2413.056,43,2,51,97.815,2724.114,-10,-37,30,141.633,942.6,40,-36,27,64.359,763.506,Hands_Crossed
118,99.224,14459.484,-24,-3,49,92.337,2463.328,42,2,51,97.815,2724.114,-12,-36,27,141.009,763.506,39,-35,26,60.524,653.536,Hands_Crossed
117,99.782,14336.946,-23,-2,47,91.219,2215.11,43,1,52,95.492,2777.528,-13,-35,27,136.469,763.506,39,-35,24,58.241,603.264,Hands_Crossed
118,93.879,14459.484,-28,-6,48,92.386,2413.056,38,-1,49,98.13,2463.328,-16,-39,29,139.185,820.062,36,-37,25,64.44,628.4,Hands_Crossed
121,92.839,15207.28,-28,-6,49,93.504,2463.328,37,-2,48,100.62,2413.056,-15,-40,29,140.44,820.062,36,-38,26,65.376,653.536,Hands_Crossed
120,92.862,15081.6,-30,-6,50,92.291,2513.6,36,-2,48,100.62,2413.056,-16,-40,31,145.305,974.02,34,-38,26,63.435,653.536,Hands_Crossed
126,93.18,16627.464,-28,-4,46,91.245,2167.98,35,-1,44,101.56,1935.472,-7,-22,42,-166.293,1847.496,21,-19,37,-10.713,1395.048,Hands_Crossed
139,105.832,20089.948,-55,-2,69,81.754,4986.354,46,-1,68,107.904,4700.432,-44,-39,31,172.648,974.02,23,-29,66,-8.616,4562.184,Hands_Crossed
128,95.356,16891.392,-31,-7,53,86.76,2830.942,33,2,47,113.839,2215.11,-12,-26,44,-160.346,1935.472,18,-17,49,-6.981,2463.328,Hands_Crossed
120,92.386,15081.6,-29,-7,47,92.437,2215.11,32,-2,42,108.004,1847.496,-6,-25,44,-165.651,1935.472,17,-20,42,-4.086,1847.496,Hands_Crossed
126,93.633,16627.464,-27,-5,47,93.652,2215.11,31,0,42,103.707,1847.496,-7,-22,40,-161.114,1633.84,16,-18,40,-7.125,1633.84,Hands_Crossed
127,94.054,16759.428,-28,-5,46,94.97,2167.98,31,-1,42,100.784,1847.496,-5,-22,42,-164.982,1847.496,17,-18,37,-10.713,1395.048,Hands_Crossed
127,93.604,16759.428,-29,-6,48,91.193,2413.056,31,1,42,103.707,1847.496,-8,-23,44,-161.565,1935.472,17,-17,38,-8.973,1432.752,Hands_Crossed
128,93.576,16891.392,-28,-5,49,91.169,2463.328,31,1,44,103.092,1935.472,-7,-23,44,-161.565,1935.472,14,-16,44,-11.56,1935.472,Hands_Crossed
123,89.534,15845.106,-32,-4,48,86.424,2413.056,32,-1,42,102.095,1847.496,-11,-21,47,-164.219,2215.11,15,-21,43,-2.663,1891.484,Hands_Crossed
121,88.58,15207.28,-31,-3,49,86.496,2463.328,34,-1,41,102.68,1674.686,-9,-22,49,-167.093,2463.328,17,-21,42,0.0,1847.496,Hands_Crossed
120,89.045,15081.6,-30,-3,48,86.424,2413.056,34,0,40,102.995,1633.84,-8,-22,48,-169.38,2413.056,19,-21,39,2.936,1592.994,Hands_Crossed
119,88.556,14582.022,-31,-2,47,85.135,2215.11,33,-1,41,102.68,1674.686,-9,-22,48,-170.538,2413.056,19,-22,37,3.094,1395.048,Hands_Crossed
135,100.229,19087.65,-52,-2,72,78.845,5429.376,52,-2,69,109.213,4986.354,-29,-37,59,-179.029,3522.182,32,-33,63,-2.726,4156.866,Hands_Crossed
103,88.332,11003.284,-34,-3,50,82.03,2513.6,31,-1,42,109.29,1847.496,-12,-25,51,-173.29,2724.114,19,-23,38,7.496,1432.752,Hands_Crossed
109,84.758,12329.208,-28,0,46,83.797,2167.98,31,0,41,104.036,1674.686,-6,-19,50,-172.03,2513.6,23,-20,27,2.121,763.506,Hands_Crossed
113,87.973,13136.702,-29,-1,45,78.69,2120.85,36,-3,43,103.392,1891.484,-26,-24,15,176.186,235.65,27,-29,30,21.448,942.6,Hands_Crossed
117,89.021,14336.946,-29,-2,48,76.827,2413.056,39,-3,44,103.092,1935.472,-22,-28,26,171.254,653.536,29,-32,34,24.305,1175.108,Hands_Crossed
118,89.514,14459.484,-29,-1,48,76.827,2413.056,41,-2,44,103.092,1935.472,-20,-28,29,166.43,820.062,31,-31,34,24.305,1175.108,Hands_Crossed
118,90.971,14459.484,-27,-1,47,74.219,2215.11,44,-3,42,102.095,1847.496,-17,-28,34,164.745,1175.108,32,-31,35,25.115,1209.67,Hands_Crossed
132,91.736,18248.736,-33,1,50,79.796,2513.6,37,13,46,94.97,2167.98,-14,-24,47,178.781,2215.11,14,-14,50,10.204,2513.6,Hands_Crossed
136,92.526,19229.04,-34,2,52,83.418,2777.528,35,13,44,93.9,1935.472,-14,-26,45,173.66,2120.85,13,-15,48,15.461,2413.056,Hands_Crossed
132,93.036,18248.736,-36,1,55,85.84,3110.58,33,13,46,92.49,2167.98,-14,-26,48,-177.614,2413.056,9,-14,50,10.204,2513.6,Hands_Crossed
132,93.468,18248.736,-36,1,54,86.82,3054.024,32,13,46,92.49,2167.98,-13,-24,49,-176.496,2463.328,8,-13,51,7.815,2724.114,Hands_Crossed
136,98.011,19229.04,-53,0,68,84.958,4700.432,55,1,71,108.687,5130.886,-21,-30,70,-173.48,5058.62,26,-30,80,-4.289,6535.36,Hands_Crossed
134,92.99,18525.232,-41,-1,57,92.01,3402.786,30,3,64,92.684,4222.848,-11,-26,57,-172.999,3402.786,2,-26,58,-5.906,3462.484,Hands_Crossed
136,93.366,19229.04,-38,0,54,90.0,3054.024,26,4,64,88.21,4222.848,-13,-24,49,-174.174,2463.328,0,-24,51,-7.815,2724.114,Hands_Crossed
136,94.205,19229.04,-38,1,54,88.939,3054.024,25,5,63,86.367,4156.866,-14,-24,49,-175.333,2463.328,-2,-23,51,-7.815,2724.114,Hands_Crossed
136,94.205,19229.04,-38,1,53,88.919,2830.942,27,6,63,89.091,4156.866,-14,-24,50,-176.566,2513.6,1,-22,51,-7.815,2724.114,Hands_Crossed
135,94.236,19087.65,-37,0,52,88.898,2777.528,28,7,58,90.0,3462.484,-12,-25,51,-177.754,2724.114,3,-21,51,-2.246,2724.114,Hands_Crossed
135,93.814,19087.65,-39,-1,52,90.0,2777.528,28,7,56,92.045,3167.136,-13,-25,52,-176.698,2777.528,4,-21,51,0.0,2724.114,Hands_Crossed
135,92.545,19087.65,-38,1,51,86.634,2724.114,32,9,52,97.667,2777.528,-13,-24,54,-177.879,3054.024,7,-17,56,1.023,3167.136,Hands_Crossed
135,92.968,19087.65,-38,1,50,85.426,2513.6,33,9,50,99.09,2513.6,-12,-23,55,-178.958,3110.58,9,-16,57,1.005,3402.786,Hands_Crossed
135,92.121,19087.65,-38,1,50,85.426,2513.6,33,10,49,99.273,2463.328,-12,-23,56,-178.977,3167.136,9,-15,56,1.023,3167.136,Hands_Crossed
135,92.121,19087.65,-38,2,50,85.426,2513.6,33,10,50,100.204,2513.6,-12,-23,56,180.0,3167.136,10,-15,55,1.042,3110.58,Hands_Crossed
137,100.901,19370.43,-55,-2,64,82.875,4222.848,53,0,75,111.092,5891.25,-20,-36,77,177.026,6048.35,29,-32,75,-4.574,5891.25,Hands_Crossed
134,92.564,18525.232,-38,2,58,83.118,3462.484,35,4,63,99.019,4156.866,-11,-28,61,177.184,3833.24,11,-24,58,-6.882,3462.484,Hands_Crossed
133,92.583,18386.984,-34,4,55,90.0,3110.58,30,4,62,92.77,3896.08,-8,-11,57,-154.323,3402.786,2,-23,58,-7.853,3462.484,Hands_Crossed
133,93.013,18386.984,-35,3,54,87.879,3054.024,29,6,59,90.0,3522.182,-11,-11,55,-152.049,3110.58,0,-20,59,-7.722,3522.182,Hands_Crossed
133,93.442,18386.984,-36,4,53,87.839,2830.942,28,8,55,90.0,3110.58,-13,-11,53,-153.435,2830.942,-1,-18,58,-3.945,3462.484,Hands_Crossed
132,94.332,18248.736,-35,5,53,91.081,2830.942,28,9,55,90.0,3110.58,-11,-9,53,-151.991,2830.942,0,-16,57,-5.013,3402.786,Hands_Crossed
132,93.9,18248.736,-35,5,53,88.919,2830.942,28,9,55,90.0,3110.58,-12,-9,54,-152.488,3054.024,0,-16,57,-5.013,3402.786,Hands_Crossed
133,93.442,18386.984,-34,4,53,88.919,2830.942,29,7,54,90.0,3054.024,-10,-11,54,-154.855,3054.024,1,-17,56,-6.116,3167.136,Hands_Crossed
133,93.013,18386.984,-34,4,53,90.0,2830.942,29,8,53,90.0,2830.942,-10,-11,53,-153.435,2830.942,1,-16,56,-5.102,3167.136,Hands_Crossed
134,92.99,18525.232,-34,5,53,90.0,2830.942,29,9,53,90.0,2830.942,-9,-10,54,-153.905,3054.024,1,-15,56,-5.102,3167.136,Hands_Crossed
145,91.58,21868.32,-30,-8,61,90.939,3833.24,35,-8,62,92.77,3896.08,-5,-37,50,-175.426,2513.6,10,-39,53,1.081,2830.942,Hands_Crossed
149,99.652,22939.742,-52,-8,79,86.379,6453.668,54,-9,74,110.376,5580.192,-20,-46,70,-176.73,5058.62,30,-43,74,-1.548,5580.192,Hands_Crossed
145,91.975,21868.32,-31,-9,68,91.685,4700.432,36,-14,70,96.52,5058.62,-6,-46,48,172.875,2413.056,15,-50,51,3.366,2724.114,Hands_Crossed
146,90.785,22019.136,-29,-7,65,90.881,4288.83,35,-12,70,94.899,5058.62,-4,-44,49,169.592,2463.328,14,-49,49,5.826,2463.328,Hands_Crossed
148,91.161,22785.784,-31,-9,64,91.79,4222.848,34,-12,69,93.318,4986.354,-5,-44,50,173.157,2513.6,12,-48,48,3.576,2413.056,Hands_Crossed
149,90.385,22939.742,-31,-10,64,91.79,4222.848,34,-12,67,93.417,4631.308,-6,-44,48,174.053,2413.056,12,-48,49,5.826,2463.328,Hands_Crossed
146,90.392,22019.136,-31,-10,64,91.79,4222.848,36,-12,67,94.268,4631.308,-6,-44,47,175.135,2215.11,13,-48,50,4.574,2513.6,Hands_Crossed
146,90.392,22019.136,-31,-11,64,91.79,4222.848,35,-13,68,94.205,4700.432,-6,-44,47,176.348,2215.11,12,-48,51,2.246,2724.114,Hands_Crossed
146,90.785,22019.136,-29,-11,64,92.684,4222.848,36,-13,68,94.205,4700.432,-5,-44,46,177.51,2167.98,13,-47,51,1.123,2724.114,Hands_Crossed
144,90.796,21717.504,-29,-10,65,91.762,4288.83,36,-13,68,95.042,4700.432,-5,-44,46,177.51,2167.98,13,-47,52,0.0,2777.528,Hands_Crossed
143,90.0,21117.382,-30,-8,62,93.691,3896.08,36,-9,63,94.538,4156.866,-4,-36,47,-173.928,2215.11,12,-37,52,-7.667,2777.528,Hands_Crossed
144,89.204,21717.504,-30,-6,60,93.814,3770.4,36,-7,60,94.764,3770.4,-4,-33,47,-172.725,2215.11,12,-33,53,-7.524,2830.942,Hands_Crossed
136,99.256,19229.04,-52,-1,70,81.069,5058.62,55,-1,67,110.056,4631.308,-29,-37,57,176.987,3402.786,30,-31,73,-3.136,5504.784,Hands_Crossed
